site,waterYr,var,val,n,source
W6,1963,Ca,77.61410610539669,56,Streamwater
W6,1964,Ca,48.3711737427879,51,Streamwater
W6,1965,Ca,67.23228445644135,53,Streamwater
W6,1966,Ca,66.31581833556669,48,Streamwater
W6,1967,Ca,65.47278262559661,44,Streamwater
W6,1968,Ca,64.85514599629622,36,Streamwater
W6,1969,Ca,76.70997927181556,50,Streamwater
W6,1970,Ca,72.94953183444453,54,Streamwater
W6,1971,Ca,70.60416398533215,54,Streamwater
W6,1972,Ca,67.41142953942615,52,Streamwater
W6,1973,Ca,65.02696336591488,55,Streamwater
W6,1974,Ca,71.13447919467899,52,Streamwater
W6,1975,Ca,63.107245217142506,53,Streamwater
W6,1976,Ca,60.57804857056453,54,Streamwater
W6,1977,Ca,52.87281835553011,53,Streamwater
W6,1978,Ca,51.14433704982414,50,Streamwater
W6,1979,Ca,57.62091417954315,54,Streamwater
W6,1980,Ca,56.110689138371725,51,Streamwater
W6,1981,Ca,47.21033001251673,54,Streamwater
W6,1982,Ca,46.520308975938335,54,Streamwater
W6,1983,Ca,41.148809950935934,57,Streamwater
W6,1984,Ca,46.97999417917972,53,Streamwater
W6,1985,Ca,42.30327129389059,52,Streamwater
W6,1986,Ca,45.3151555881468,54,Streamwater
W6,1987,Ca,45.39537603771552,53,Streamwater
W6,1988,Ca,50.01799627198944,57,Streamwater
W6,1989,Ca,47.74400723863101,57,Streamwater
W6,1990,Ca,42.741098476922716,55,Streamwater
W6,1991,Ca,42.17484901440302,54,Streamwater
W6,1992,Ca,38.15616986005613,58,Streamwater
W6,1993,Ca,40.562112171240884,58,Streamwater
W6,1994,Ca,43.71776670299943,57,Streamwater
W6,1995,Ca,33.15932019080274,62,Streamwater
W6,1996,Ca,31.542885429375524,72,Streamwater
W6,1997,Ca,36.655448150427794,76,Streamwater
W6,1998,Ca,38.605840858777775,77,Streamwater
W6,1999,Ca,33.78863021351289,86,Streamwater
W6,2000,Ca,34.755018719351405,73,Streamwater
W6,2001,Ca,33.35824084542415,53,Streamwater
W6,2002,Ca,34.53007048542684,55,Streamwater
W6,2003,Ca,30.355867364779826,62,Streamwater
W6,2004,Ca,30.982073529638846,57,Streamwater
W6,2005,Ca,28.886249713808038,55,Streamwater
W6,2006,Ca,28.827409035139116,55,Streamwater
W6,2007,Ca,31.179606343069935,58,Streamwater
W6,2008,Ca,27.974088066122057,57,Streamwater
W6,2009,Ca,28.899111607800698,56,Streamwater
W6,2010,Ca,28.095797325827075,56,Streamwater
W6,2011,Ca,26.86419043033689,52,Streamwater
W6,2012,Ca,27.903298351980713,58,Streamwater
W6,2013,Ca,30.686251610881264,91,Streamwater
W6,2014,Ca,27.997330534224965,82,Streamwater
W6,2015,Ca,26.156795914728992,66,Streamwater
W6,2016,Ca,24.157322266443806,51,Streamwater
W6,2017,Ca,23.31709260481737,52,Streamwater
W6,2018,Ca,21.268342561265953,54,Streamwater
W6,2019,Ca,22.481681740922777,52,Streamwater
W6,2020,Ca,22.91742751396002,51,Streamwater
W6,2021,Ca,25.938648170846925,54,Streamwater
W6,2022,Ca,22.182388157738583,52,Streamwater
W6,1963,Na,32.81268927582009,56,Streamwater
W6,1964,Na,35.02465663471693,51,Streamwater
W6,1965,Na,35.200514595757355,53,Streamwater
W6,1966,Na,29.626604474623573,48,Streamwater
W6,1967,Na,37.89101091882236,44,Streamwater
W6,1968,Na,29.042986667556406,36,Streamwater
W6,1969,Na,29.273356471878518,50,Streamwater
W6,1970,Na,28.866024427650647,54,Streamwater
W6,1971,Na,31.48376250160146,54,Streamwater
W6,1972,Na,31.529446822769845,52,Streamwater
W6,1973,Na,23.078072028395493,55,Streamwater
W6,1974,Na,30.702308648432616,52,Streamwater
W6,1975,Na,28.210306639280077,53,Streamwater
W6,1976,Na,26.244320465001458,54,Streamwater
W6,1977,Na,24.871501748144155,53,Streamwater
W6,1978,Na,26.41847585394949,50,Streamwater
W6,1979,Na,31.53781350187518,54,Streamwater
W6,1980,Na,33.339754624099804,51,Streamwater
W6,1981,Na,26.777984375342143,54,Streamwater
W6,1982,Na,28.47847103157188,54,Streamwater
W6,1983,Na,24.82893420829951,57,Streamwater
W6,1984,Na,31.886755883342133,53,Streamwater
W6,1985,Na,22.789511065724383,52,Streamwater
W6,1986,Na,23.560490874125012,54,Streamwater
W6,1987,Na,31.268071945394368,53,Streamwater
W6,1988,Na,33.745283560970606,57,Streamwater
W6,1989,Na,31.875416218218927,57,Streamwater
W6,1990,Na,26.52990443240006,55,Streamwater
W6,1991,Na,25.389678343492843,54,Streamwater
W6,1992,Na,25.300691657218334,58,Streamwater
W6,1993,Na,30.33811060094292,58,Streamwater
W6,1994,Na,34.90209872591989,57,Streamwater
W6,1995,Na,28.757517693410954,62,Streamwater
W6,1996,Na,27.469692281636284,72,Streamwater
W6,1997,Na,28.40481130812282,76,Streamwater
W6,1998,Na,27.02368227608454,77,Streamwater
W6,1999,Na,27.05644484466013,86,Streamwater
W6,2000,Na,27.750696114414733,73,Streamwater
W6,2001,Na,28.451318597811927,53,Streamwater
W6,2002,Na,31.543736133650107,55,Streamwater
W6,2003,Na,26.729452415764815,62,Streamwater
W6,2004,Na,30.227471052587937,57,Streamwater
W6,2005,Na,27.01895028314216,55,Streamwater
W6,2006,Na,25.01725069795735,55,Streamwater
W6,2007,Na,28.13966829515941,58,Streamwater
W6,2008,Na,22.874184696553804,57,Streamwater
W6,2009,Na,25.913601697452744,56,Streamwater
W6,2010,Na,22.4602831624205,56,Streamwater
W6,2011,Na,26.156720704101037,52,Streamwater
W6,2012,Na,24.377620327788634,58,Streamwater
W6,2013,Na,29.113287934731552,91,Streamwater
W6,2014,Na,24.70528276627038,82,Streamwater
W6,2015,Na,27.22029070657845,66,Streamwater
W6,2016,Na,25.08310815437413,51,Streamwater
W6,2017,Na,26.52570223258303,52,Streamwater
W6,2018,Na,20.24602707761956,54,Streamwater
W6,2019,Na,22.31806073192292,52,Streamwater
W6,2020,Na,25.21244811963607,51,Streamwater
W6,2021,Na,31.442699533305703,54,Streamwater
W6,2022,Na,30.21935539510603,52,Streamwater
W6,1963,Mg,31.376866052028998,56,Streamwater
W6,1964,Mg,29.204811665473965,51,Streamwater
W6,1965,Mg,29.423023612835436,53,Streamwater
W6,1966,Mg,27.657672231647876,48,Streamwater
W6,1967,Mg,29.44845648788592,44,Streamwater
W6,1968,Mg,26.91419677782769,36,Streamwater
W6,1969,Mg,27.525121150559794,50,Streamwater
W6,1970,Mg,26.497156449583443,54,Streamwater
W6,1971,Mg,27.532821507506654,54,Streamwater
W6,1972,Mg,24.79554336077767,52,Streamwater
W6,1973,Mg,22.07805235993883,55,Streamwater
W6,1974,Mg,28.284943138538,52,Streamwater
W6,1975,Mg,24.301715474685146,53,Streamwater
W6,1976,Mg,23.04028301161124,54,Streamwater
W6,1977,Mg,20.41158863229819,53,Streamwater
W6,1978,Mg,20.704028750964483,50,Streamwater
W6,1979,Mg,23.08359546479818,54,Streamwater
W6,1980,Mg,24.404850082970697,51,Streamwater
W6,1981,Mg,18.924190107614592,54,Streamwater
W6,1982,Mg,19.924432735497042,54,Streamwater
W6,1983,Mg,16.64863360698147,57,Streamwater
W6,1984,Mg,20.959499529050422,53,Streamwater
W6,1985,Mg,19.54330177711338,52,Streamwater
W6,1986,Mg,19.350274546738817,54,Streamwater
W6,1987,Mg,22.16186544773771,53,Streamwater
W6,1988,Mg,24.652698784412124,57,Streamwater
