site,waterYr,var,val,n,source
all,1971,Mg,1.3213589372875993,31,Precipitation
all,1972,Mg,1.0584600900952104,32,Precipitation
all,1973,Mg,1.5484006204585008,48,Precipitation
all,1974,Mg,1.9397829275665972,42,Precipitation
all,1975,Mg,1.8646850227801999,38,Precipitation
all,1976,Mg,1.4431305359358477,32,Precipitation
all,1977,Mg,2.6435667795715405,37,Precipitation
all,1978,Mg,1.790943347668631,41,Precipitation
all,1979,Mg,2.7800462948036397,45,Precipitation
all,1980,Mg,2.544677424605977,44,Precipitation
all,1981,Mg,2.2732026184005516,43,Precipitation
all,1982,Mg,2.3539552737580527,44,Precipitation
all,1983,Mg,1.890352766009109,42,Precipitation
all,1984,Mg,2.856863702157623,38,Precipitation
all,1985,Mg,1.2149091506191605,42,Precipitation
all,1986,Mg,1.6558835562256105,44,Precipitation
all,1987,Mg,2.6257323984798466,47,Precipitation
all,1988,Mg,2.470026282466486,40,Precipitation
all,1989,Mg,2.0678209143157487,48,Precipitation
all,1990,Mg,3.4297715794977557,43,Precipitation
all,1991,Mg,0.9934560574023652,39,Precipitation
all,1992,Mg,1.9879372856606974,42,Precipitation
all,1993,Mg,2.153243372249239,47,Precipitation
all,1994,Mg,3.073862226255414,41,Precipitation
all,1995,Mg,2.9470400841700823,42,Precipitation
all,1996,Mg,1.127851480478183,47,Precipitation
all,1997,Mg,1.6027893726442806,40,Precipitation
all,1998,Mg,1.0704731090852004,41,Precipitation
all,1999,Mg,2.6328694476024035,43,Precipitation
all,2000,Mg,0.9254234806005434,41,Precipitation
all,2001,Mg,1.5256338173192272,43,Precipitation
all,2002,Mg,1.473560988811154,43,Precipitation
all,2003,Mg,1.6128801665974084,38,Precipitation
all,2004,Mg,0.948423892448605,45,Precipitation
all,2005,Mg,1.9549959511516257,48,Precipitation
all,2006,Mg,2.718436496414157,40,Precipitation
all,2007,Mg,1.392155208904379,40,Precipitation
all,2008,Mg,1.8014005710593934,37,Precipitation
all,2009,Mg,0.8989688150220553,36,Precipitation
all,2010,Mg,2.9015521576432706,43,Precipitation
all,2011,Mg,1.732319829175324,46,Precipitation
all,2012,Mg,1.3541967414770755,36,Precipitation
all,2013,Mg,1.3061172876589786,43,Precipitation
all,2014,Mg,1.4892095247990242,41,Precipitation
all,2015,Mg,1.2519922717703762,48,Precipitation
all,2016,Mg,1.398487673722726,46,Precipitation
all,2017,Mg,1.7871833643780968,40,Precipitation
all,2018,Mg,2.253864650719252,44,Precipitation
all,2019,Mg,3.570551944255997,45,Precipitation
all,2020,Mg,1.195836444996972,41,Precipitation
all,2021,Mg,2.5211653717070877,46,Precipitation
all,2022,Mg,1.301210570874572,44,Precipitation
all,1963,K,7.775295954686946,36,Precipitation
all,1964,K,5.218611886202338,40,Precipitation
all,1965,K,1.4751723679536175,51,Precipitation
all,1966,K,2.5890463634684124,45,Precipitation
all,1967,K,4.808258644242117,42,Precipitation
all,1968,K,2.7811380144769133,36,Precipitation
all,1969,K,2.233362533618889,39,Precipitation
all,1970,K,1.2647716742716881,41,Precipitation
all,1971,K,0.4089915530054221,31,Precipitation
all,1972,K,0.7164765279511875,32,Precipitation
all,1973,K,1.638543991358815,48,Precipitation
all,1974,K,1.291182696619463,42,Precipitation
all,1975,K,0.5164549503161421,38,Precipitation
all,1976,K,0.630628441098755,32,Precipitation
all,1977,K,0.5955258786316788,37,Precipitation
all,1978,K,0.5132822790798853,41,Precipitation
all,1979,K,1.0953599657607547,45,Precipitation
all,1980,K,1.0857612423189538,44,Precipitation
all,1981,K,0.7558153294392639,43,Precipitation
all,1982,K,1.0564757676983092,44,Precipitation
all,1983,K,1.3171637361730997,42,Precipitation
all,1984,K,1.6118987924566737,38,Precipitation
all,1985,K,0.4184625136025346,42,Precipitation
all,1986,K,0.7770193824630626,44,Precipitation
all,1987,K,1.2735605081537336,47,Precipitation
all,1988,K,1.058691402691208,40,Precipitation
all,1989,K,1.0332243149148124,48,Precipitation
all,1990,K,1.6045021615402835,43,Precipitation
all,1991,K,0.5504368243940495,39,Precipitation
all,1992,K,1.2756620793482096,42,Precipitation
