site,waterYr,var,val,n,source
all,1964,SO4,54.561581989223946,40,Precipitation
all,1965,SO4,74.8175106069852,51,Precipitation
all,1966,SO4,92.9437607053148,45,Precipitation
all,1967,SO4,83.08348447004641,42,Precipitation
all,1968,SO4,64.49742249894558,35,Precipitation
all,1969,SO4,44.638410923256714,4,Precipitation
all,1971,SO4,76.21992351330127,29,Precipitation
all,1972,SO4,43.98178764935044,32,Precipitation
all,1973,SO4,50.982271810974524,48,Precipitation
all,1974,SO4,59.03222092172266,42,Precipitation
all,1975,SO4,50.061318766215095,38,Precipitation
all,1976,SO4,37.52476002885173,32,Precipitation
all,1977,SO4,42.5359760300326,37,Precipitation
all,1978,SO4,51.92959331550148,41,Precipitation
all,1979,SO4,56.24508583951587,45,Precipitation
all,1980,SO4,75.95852901260392,44,Precipitation
all,1981,SO4,61.42336829356806,43,Precipitation
all,1982,SO4,43.330143614396135,44,Precipitation
all,1983,SO4,39.53978300634238,42,Precipitation
all,1984,SO4,58.32184683860993,38,Precipitation
all,1985,SO4,28.41064277904104,42,Precipitation
all,1986,SO4,59.34660493735462,44,Precipitation
all,1987,SO4,34.506070226404944,47,Precipitation
all,1988,SO4,54.61297395394535,40,Precipitation
all,1989,SO4,48.06877073806987,48,Precipitation
all,1990,SO4,70.33753302582195,43,Precipitation
all,1991,SO4,34.0906034441159,39,Precipitation
all,1992,SO4,45.38196245219862,42,Precipitation
all,1993,SO4,57.4730593185075,47,Precipitation
all,1994,SO4,61.39473943319718,41,Precipitation
all,1995,SO4,34.58191972162218,42,Precipitation
all,1996,SO4,30.73125100458029,47,Precipitation
all,1997,SO4,37.01146989902876,40,Precipitation
all,1998,SO4,25.783139234146468,41,Precipitation
all,1999,SO4,35.957080768650314,43,Precipitation
all,2000,SO4,26.57137685052424,41,Precipitation
all,2001,SO4,25.560584195603145,43,Precipitation
all,2002,SO4,29.649578890984277,43,Precipitation
all,2003,SO4,30.718176237870768,38,Precipitation
all,2004,SO4,40.2303907457678,45,Precipitation
all,2005,SO4,36.99164785862571,48,Precipitation
all,2006,SO4,33.48653562557685,40,Precipitation
all,2007,SO4,33.881957629990005,40,Precipitation
all,2008,SO4,20.747303536796327,37,Precipitation
all,2009,SO4,8.554733814529472,36,Precipitation
all,2010,SO4,17.50953674790785,43,Precipitation
all,2011,SO4,16.664180476798613,46,Precipitation
all,2012,SO4,12.349412509359153,36,Precipitation
all,2013,SO4,12.607019499838847,43,Precipitation
all,2014,SO4,11.344697759501292,41,Precipitation
all,2015,SO4,8.30606695441936,48,Precipitation
all,2016,SO4,6.860460964107338,46,Precipitation
all,2017,SO4,8.505063070775575,40,Precipitation
all,2018,SO4,8.285570179329655,44,Precipitation
all,2019,SO4,11.613892759078137,45,Precipitation
all,2020,SO4,6.149718005618048,41,Precipitation
all,2021,SO4,6.167472158515012,46,Precipitation
all,2022,SO4,5.619903768772906,44,Precipitation
all,1964,Cl,52.12504804467933,40,Precipitation
all,1965,Cl,19.432109660039576,51,Precipitation
all,1966,Cl,50.40441865607712,45,Precipitation
all,1967,Cl,15.324473199445878,42,Precipitation
all,1968,Cl,13.96503939057118,35,Precipitation
all,1969,Cl,6.958650716713652,6,Precipitation
all,1971,Cl,8.95846725746404,29,Precipitation
all,1972,Cl,6.732377489584339,32,Precipitation
all,1973,Cl,5.957521626306707,48,Precipitation
all,1974,Cl,9.585949828980645,42,Precipitation
all,1975,Cl,8.383882763201148,38,Precipitation
all,1976,Cl,8.635209241372399,32,Precipitation
all,1977,Cl,8.833006967112675,37,Precipitation
all,1978,Cl,7.620073842847746,41,Precipitation
all,1979,Cl,10.655755948902595,45,Precipitation
all,1980,Cl,7.794409498958276,44,Precipitation
all,1981,Cl,5.235476565364517,43,Precipitation
all,1982,Cl,7.141712989851652,44,Precipitation
all,1983,Cl,4.9880503954502204,42,Precipitation
all,1984,Cl,4.892336486479715,38,Precipitation
all,1985,Cl,4.034748002419977,42,Precipitation
all,1986,Cl,3.6706885554271667,44,Precipitation
all,1987,Cl,7.782813469456986,47,Precipitation
all,1988,Cl,5.129627147661542,40,Precipitation
all,1989,Cl,6.162652041969183,48,Precipitation
all,1990,Cl,9.251853324856754,43,Precipitation
all,1991,Cl,1.5553162154046798,39,Precipitation
all,1992,Cl,5.90523030166078,42,Precipitation
all,1993,Cl,4.030646759639118,47,Precipitation
all,1994,Cl,12.713852333331976,41,Precipitation
all,1995,Cl,8.757338583776809,42,Precipitation
all,1996,Cl,4.201715236487574,47,Precipitation
all,1997,Cl,4.861284607585012,40,Precipitation
all,1998,Cl,2.5675154486091856,41,Precipitation
all,1999,Cl,6.810006128200129,43,Precipitation
all,2000,Cl,3.710921787168072,41,Precipitation
all,2001,Cl,4.998523837280553,43,Precipitation
all,2002,Cl,4.780596995644621,43,Precipitation
all,2003,Cl,3.2960567280386055,38,Precipitation
all,2004,Cl,2.9921407731695666,45,Precipitation
all,2005,Cl,7.569590729732539,48,Precipitation
all,2006,Cl,5.34536200892104,40,Precipitation
all,2007,Cl,5.039996741784002,40,Precipitation
all,2008,Cl,6.769751235133883,37,Precipitation
all,2009,Cl,3.5895014579444777,36,Precipitation
all,2010,Cl,4.963612919142996,43,Precipitation
all,2011,Cl,4.7875732983951265,46,Precipitation
all,2012,Cl,3.922108268639863,36,Precipitation
all,2013,Cl,2.9700528745991783,43,Precipitation
all,2014,Cl,5.686547163043596,41,Precipitation
all,2015,Cl,4.400177962150672,48,Precipitation
all,2016,Cl,6.588776798958932,46,Precipitation
all,2017,Cl,5.673009119660986,40,Precipitation
all,2018,Cl,9.25805826215963,44,Precipitation
all,2019,Cl,16.91795424114887,45,Precipitation
all,2020,Cl,7.2534524554257,41,Precipitation
all,2021,Cl,5.97867525058925,46,Precipitation
all,2022,Cl,5.597713566333084,44,Precipitation
all,1964,NO3,11.175985274117927,40,Precipitation
all,1965,NO3,25.377948104086173,51,Precipitation
all,1966,NO3,36.32353670096516,45,Precipitation
all,1967,NO3,31.832811330969413,42,Precipitation
all,1968,NO3,20.900224109970438,35,Precipitation
all,1969,NO3,44.35902603962284,6,Precipitation
all,1971,NO3,34.02310411440237,29,Precipitation
all,1972,NO3,23.350675628416028,32,Precipitation
all,1973,NO3,24.557653389376313,48,Precipitation
all,1974,NO3,29.25512465465406,42,Precipitation
all,1975,NO3,31.700637370643296,38,Precipitation
all,1976,NO3,20.73072950867599,32,Precipitation
all,1977,NO3,19.44595921419025,37,Precipitation
all,1978,NO3,31.228672747564314,41,Precipitation
all,1979,NO3,36.05616424780596,45,Precipitation
all,1980,NO3,38.714982486497014,44,Precipitation
all,1981,NO3,34.21225550848089,43,Precipitation
all,1982,NO3,22.193896847603813,44,Precipitation
all,1983,NO3,24.952053821828695,42,Precipitation
all,1984,NO3,46.90698100008338,38,Precipitation
all,1985,NO3,20.581382771698816,42,Precipitation
all,1986,NO3,27.317140754342745,44,Precipitation
all,1987,NO3,22.668382639646932,47,Precipitation
all,1988,NO3,28.763706015691646,40,Precipitation
all,1989,NO3,34.26107801259096,48,Precipitation
all,1990,NO3,36.32037620286918,43,Precipitation
all,1991,NO3,17.35385926227383,39,Precipitation
all,1992,NO3,31.250163493989845,42,Precipitation
all,1993,NO3,38.42859556334261,47,Precipitation
all,1994,NO3,34.0701565939797,41,Precipitation
all,1995,NO3,34.98562975137652,42,Precipitation
all,1996,NO3,20.817108559298095,47,Precipitation
all,1997,NO3,28.176902925855405,40,Precipitation
all,1998,NO3,21.330372450438663,41,Precipitation
all,1999,NO3,26.58282203395788,43,Precipitation
all,2000,NO3,27.529023129364365,41,Precipitation
all,2001,NO3,20.49917757312598,43,Precipitation
all,2002,NO3,25.3439959386842,43,Precipitation
all,2003,NO3,19.89658650417797,38,Precipitation
all,2004,NO3,16.18079189998338,45,Precipitation
all,2005,NO3,24.30194294839264,48,Precipitation
all,2006,NO3,22.60155855332046,40,Precipitation
all,2007,NO3,23.169179631804738,40,Precipitation
all,2008,NO3,20.627284498938764,37,Precipitation
all,2009,NO3,4.908360775174956,36,Precipitation
all,2010,NO3,13.066807725844818,43,Precipitation
all,2011,NO3,17.743653716723287,46,Precipitation
all,2012,NO3,15.154835295525931,36,Precipitation
all,2013,NO3,12.570908100346065,43,Precipitation
all,2014,NO3,17.012023427850597,41,Precipitation
all,2015,NO3,9.353435049489933,48,Precipitation
all,2016,NO3,11.502872681093837,46,Precipitation
all,2017,NO3,14.867088543348464,40,Precipitation
all,2018,NO3,10.944076474376882,44,Precipitation
all,2019,NO3,21.00272425460918,45,Precipitation
all,2020,NO3,8.556403884333362,41,Precipitation
all,2021,NO3,8.823582285258281,46,Precipitation
all,2022,NO3,7.08851259823206,44,Precipitation
