"refNo", "site", "date", "timeEST", "pH", "DIC", "spCond", "temp", "ANC960", "ANCMet", "gageHt", "hydroGraph", "flowGageHt", "precipCatch", "fieldCode", "notes", "uniqueID", "waterYr", "datetime", "Ca", "Mg", "K", "Na", "TMAl", "OMAl", "Al_ICP", "Al_ferron", "NH4", "SO4", "NO3", "Cl", "PO4", "DOC", "TDN", "DON", "SiO2", "Mn", "Fe", "F", "cationCharge", "anionCharge", "theoryCond", "ionError", "duplicate", "sampleType", "ionBalance", "canonical"
"25154","S","1963-07-10",\N,"4.2500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630710_NA","1963",\N,"0.3000","0.0700","0.1000","0.0700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25167","S","1963-07-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630716_NA","1963",\N,"0.1900","0.0300","0.1000","0.0900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25176","S","1963-07-24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630724_NA","1963",\N,"0.3500","0.0400","0.1100","0.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25182","S","1963-08-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630801_NA","1963",\N,"0.2900","0.1000","0.1600","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25191","S","1963-08-07",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630807_NA","1963",\N,"0.1400","0.0200","0.0600","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25197","S","1963-08-14",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630814_NA","1963",\N,"0.1200","0.0300","0.0400","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25211","S","1963-08-21",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630821_NA","1963",\N,"0.1400","0.0300","0.0900","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25218","S","1963-08-28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630828_NA","1963",\N,"0.5400","0.1200","0.0900","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25221","S","1963-08-30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630830_NA","1963",\N,"0.1500","0.0600","0.1900","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25228","S","1963-09-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630904_NA","1963",\N,"0.1300","0.0400","0.1200","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25238","S","1963-09-30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630930_NA","1963",\N,"0.2100","0.0900","0.5700","0.0900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25244","S","1963-10-07",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631007_NA","1963",\N,"0.4300","0.0900","0.9000","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25262","S","1963-11-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631101_NA","1963",\N,"0.7500","0.1600","0.8800","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25270","S","1963-11-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631104_NA","1963",\N,"0.6500","0.2800","1.6600","0.0900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25285","S","1963-11-07",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631107_NA","1963",\N,"0.1100","0.1600","0.6600","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25298","S","1963-11-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631110_NA","1963",\N,"0.0400","0.0100","0.1800","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25312","S","1963-11-18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631118_NA","1963",\N,"0.0400","0.0100","0.0100","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25327","S","1963-12-02",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631202_NA","1963",\N,"0.1000","0.0600","0.1300","0.3300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25342","S","1963-12-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19631216_NA","1963",\N,"0.1000","0.0200","0.4600","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25363","S","1964-01-06",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640106_NA","1963",\N,"0.2000","0.0200","0.0800","0.3800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25370","S","1964-01-13",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640113_NA","1963",\N,"0.0600","0.0200","0.0100","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25378","S","1964-01-20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640120_NA","1963",\N,"0.1900","0.0300","0.0500","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25386","S","1964-01-27",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640127_NA","1963",\N,"0.0400","0.0100","0.0300","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25398","S","1964-02-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640204_NA","1963",\N,"0.0900","0.0500","0.0700","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25402","S","1964-02-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640210_NA","1963",\N,"0.3400","0.0600","0.1400","0.1300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25409","S","1964-02-17",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640217_NA","1963",\N,"0.0500","0.0200","0.0200","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25439","S","1964-03-09",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640309_NA","1963",\N,"0.1700","0.0300","0.0700","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25446","S","1964-03-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640316_NA","1963",\N,"0.2800","0.0700","0.0500","0.0900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25459","S","1964-03-30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640330_NA","1963",\N,"0.2200","0.0400","0.0400","0.0100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25466","S","1964-04-06",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640406_NA","1963",\N,"0.2300","0.0500","0.0400","0.0100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25473","S","1964-04-13",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640413_NA","1963",\N,"0.2100","0.0400","0.0400","0.1200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25480","S","1964-04-20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640420_NA","1963",\N,"0.8900","0.1400","0.0600","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25485","S","1964-04-27",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640427_NA","1963",\N,"0.1400","0.0400","0.0700","0.0100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25497","S","1964-05-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640510_NA","1963",\N,"0.7000","0.1700","0.7600","0.1200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25503","S","1964-05-18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640518_NA","1963",\N,"0.1500","0.0600","0.2600","0.1600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25509","S","1964-05-25",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640525_NA","1963",\N,"0.6400","0.1000","0.1400","0.0100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25531","S","1964-06-29",\N,"4.2500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640629_NA","1964",\N,"0.5800","0.1000","0.2700","0.0600",\N,\N,\N,"0.0600","0.3000","4.2000","0.7700","0.3800",\N,\N,\N,\N,\N,\N,\N,\N,"124.7000","-110.5000",\N,"13.3000",\N,\N,"15.7000","TRUE"
"25536","S","1964-07-06",\N,"4.2000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19640706_NA","1964",\N,"0.3700","0.0500","0.0900","0.0500",\N,\N,\N,"0.3000","0.1000","3.9200","0.9300","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,"121.3000","-97.9000",\N,"27.5000",\N,\N,"31.2000","TRUE"
"25550","S","1964-08-02",\N,"3.8000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640802_NA","1964",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7.6800","1.2500","0.6000",\N,\N,\N,\N,\N,\N,\N,\N,\N,"-196.8000",\N,\N,\N,\N,\N,"TRUE"
"25556","S","1964-08-12",\N,"4.4300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640812_NA","1964",\N,\N,\N,\N,\N,\N,\N,\N,"0.0100","0.1100","1.0800","0.0100","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,"-25.4000",\N,\N,\N,\N,\N,"TRUE"
"25557","S","1964-08-17",\N,"4.3200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19640817_NA","1964",\N,"0.1400","0.0300","0.4200","0.1100",\N,\N,\N,\N,"0.0200","2.3500","0.3000","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,"74.0000","-56.5000",\N,"26.8000",\N,\N,"17.5000","TRUE"
"25561","S","1964-08-24",\N,"4.4200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19640824_NA","1964",\N,"0.1000","0.0100","0.0100","0.0300",\N,\N,\N,"0.0050","0.1600","2.4300","0.1800","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,"54.7000","-54.9000",\N,"-0.2000",\N,\N,"-0.1000","TRUE"
"25569","S","1964-09-01",\N,"4.1800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19640901_NA","1964",\N,"0.9600","0.0200","0.0300","0.0300",\N,\N,\N,"0.0400","0.1400","2.9600","0.0400","0.8400",\N,\N,\N,\N,\N,\N,\N,\N,"128.9000","-85.9000",\N,"40.8000",\N,\N,"44.0000","TRUE"
"25570","S","1964-09-08",\N,"4.4400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19640908_NA","1964",\N,"0.2700","0.0200","0.3400","0.0200",\N,\N,\N,"0.0800","0.2600","1.6500","0.0100","1.3700",\N,\N,\N,\N,\N,\N,\N,\N,"409.0000","-73.1000",\N,"139.6000",\N,\N,"338.0000","TRUE"
"25574","S","1964-09-14",\N,"3.4100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19640914_NA","1964",\N,"0.4800","0.9600","0.1400","0.2000",\N,\N,\N,"0.1100","0.6100","12.2000","4.3600","8.5000",\N,\N,\N,\N,\N,\N,\N,\N,"547.5000","-563.7000",\N,"-2.4000",\N,\N,"-13.4000","TRUE"
"25578","S","1964-09-21",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19640921_NA","1964",\N,"2.7200","0.5000","0.4000","0.2700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25582","S","1964-09-28",\N,"3.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19640928_NA","1964",\N,"0.7200","0.1600","0.1700","0.3000",\N,\N,\N,\N,\N,"3.4000","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,"855.3000","-999.9000",\N,\N,\N,\N,\N,"TRUE"
"25586","S","1964-10-05",\N,"3.9900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19641005_NA","1964",\N,"0.6100","0.1800","0.1100","0.7700",\N,\N,\N,"0.3600","0.1000","1.8400","0.0600","7.7000",\N,\N,\N,\N,\N,\N,\N,\N,"220.1000","-256.4000",\N,"-11.1000",\N,\N,"-26.9000","TRUE"
"25596","S","1964-10-20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19641020_NA","1964",\N,"1.4900","0.6100","0.5300","1.9200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25601","S","1964-10-27",\N,"4.1600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19641027_NA","1964",\N,"0.6400","0.7100","0.1200","1.3700",\N,\N,\N,"0.9900","0.1000","1.0400","0.0100","17.0000",\N,\N,\N,\N,\N,\N,\N,\N,"312.1000","-501.2000",\N,"-39.0000",\N,\N,"-163.4000","TRUE"
"25606","S","1964-11-03",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19641103_NA","1964",\N,"2.5600","0.8000","1.6400","1.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25607","S","1964-11-09",\N,"3.8400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19641109_NA","1964",\N,"0.5000","0.4100","0.1900","0.6200",\N,\N,\N,"1.6200",\N,"3.1600","0.0100","17.0000",\N,\N,\N,\N,\N,\N,\N,\N,"206.9000","-545.3000",\N,"-74.6000",\N,\N,"-296.3000","TRUE"
"25612","S","1964-11-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19641116_NA","1964",\N,"0.6200","0.7500","0.3600","1.1100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25617","S","1964-11-20",\N,"4.2300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19641120_NA","1964",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.1000","2.9000","1.1900","1.7000",\N,\N,\N,\N,\N,\N,\N,\N,\N,"-127.4000",\N,\N,\N,\N,\N,"TRUE"
"25622","S","1964-11-24",\N,"3.6800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19641124_NA","1964",\N,"0.1800","0.1500","0.0300","0.1300",\N,\N,\N,\N,\N,"2.6400","0.5200","14.0000",\N,\N,\N,\N,\N,\N,\N,\N,"70.5000","-458.1000",\N,"-146.7000",\N,\N,"-387.6000","TRUE"
"25623","S","1964-11-30",\N,"4.5000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19641130_NA","1964",\N,"0.0500","0.0300","0.0400","0.1800",\N,\N,\N,\N,"0.0050","1.5500","0.0200","0.5200",\N,\N,\N,\N,\N,\N,\N,\N,"45.7000","-47.2000",\N,"-3.2000",\N,\N,"-1.5000","TRUE"
"25628","S","1964-12-07",\N,"4.6800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19641207_NA","1964",\N,"0.1000","0.0100","0.0100","0.0300",\N,\N,\N,\N,"0.0050","0.8900","0.4000","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,"28.5000","-28.9000",\N,"-1.4000",\N,\N,"-0.4000","TRUE"
"25633","S","1964-12-14",\N,"4.1300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19641214_NA","1964",\N,"0.0300","0.0300","0.1500","0.0500",\N,\N,\N,\N,"0.0300","4.5500","5.3200","0.3300",\N,\N,\N,\N,\N,\N,\N,\N,"85.8000","-189.6000",\N,"-75.4000",\N,\N,"-103.8000","TRUE"
"25638","S","1964-12-21",\N,"4.9800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19641221_NA","1964",\N,"0.4600","0.6500","0.1300","0.2000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25643","S","1964-12-28",\N,"4.4500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19641228_NA","1964",\N,"0.1400","0.0100","0.0100","0.0700",\N,\N,\N,\N,"0.1600","1.7800","0.2200","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,"55.5000","-44.8000",\N,"21.3000",\N,\N,"10.7000","TRUE"
"25648","S","1965-01-04",\N,"4.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650104_NA","1964",\N,"0.8000","0.1200","0.2000",\N,\N,\N,\N,\N,"0.0200","7.2200","4.0200","0.3400",\N,\N,\N,\N,\N,\N,\N,\N,"5.0000","-224.5000",\N,"-191.3000",\N,\N,"-219.5000","TRUE"
"25653","S","1965-01-11",\N,"3.9900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650111_NA","1964",\N,"0.1600","0.0600","0.0400","0.3800",\N,\N,\N,\N,"0.0200","4.5800","1.3600","0.8400",\N,\N,\N,\N,\N,\N,\N,\N,"133.9000","-140.8000",\N,"-5.0000",\N,\N,"-6.9000","TRUE"
"25658","S","1965-01-18",\N,"5.8500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650118_NA","1964",\N,"0.1300","0.0300","0.0800","0.1300",\N,\N,\N,\N,"1.3000","1.9000","0.6900","0.5200",\N,\N,\N,\N,\N,\N,\N,\N,"90.1000","-65.3000",\N,"31.9000",\N,\N,"24.8000","TRUE"
"25663","S","1965-01-25",\N,"4.8800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650125_NA","1964",\N,"0.0200","0.0200","0.0100","0.0400",\N,\N,\N,\N,"0.8000","0.6200","0.0200","0.1600",\N,\N,\N,\N,\N,\N,\N,\N,"62.1000","-17.7000",\N,"111.3000",\N,\N,"44.4000","TRUE"
"25668","S","1965-02-01",\N,"5.8500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650201_NA","1964",\N,"0.2700","0.0400","0.0400","0.1600",\N,\N,\N,\N,"1.1700","2.6400","0.9300","0.5700",\N,\N,\N,\N,\N,\N,\N,\N,"91.0000","-86.0000",\N,"5.6000",\N,\N,"5.0000","TRUE"
"25673","S","1965-02-08",\N,"4.6000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650208_NA","1964",\N,"0.0900","0.0300","0.0400","0.0900",\N,\N,\N,\N,"0.1100","1.9000","0.3400","0.2500",\N,\N,\N,\N,\N,\N,\N,\N,"43.1000","-52.0000",\N,"-18.7000",\N,\N,"-8.9000","TRUE"
"25678","S","1965-02-15",\N,"4.2900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650215_NA","1964",\N,"0.0700","0.0200","0.0400","0.1000",\N,\N,\N,\N,"0.0600","2.2100","0.4100","0.2100",\N,\N,\N,\N,\N,\N,\N,\N,"65.1000","-58.5000",\N,"10.7000",\N,\N,"6.6000","TRUE"
"25683","S","1965-02-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19650223_NA","1964",\N,"0.3900","0.0600","0.1000","0.1600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25688","S","1965-03-01",\N,"4.3600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650301_NA","1964",\N,"0.1600","0.0700","0.0500","0.4600",\N,\N,\N,\N,"0.0100","0.7800","0.1800","1.5200",\N,\N,\N,\N,\N,\N,\N,\N,"79.2000","-62.0000",\N,"24.4000",\N,\N,"17.2000","TRUE"
"25705","S","1965-03-29",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19650329_NA","1964",\N,"0.4500","0.1000","0.1500","0.3000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25714","S","1965-04-12",\N,"4.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19650412_NA","1964",\N,"0.3100","0.0500","0.1000","0.1400",\N,\N,\N,\N,"0.2200","4.7700","1.9500","0.4000",\N,\N,\N,\N,\N,\N,\N,\N,"119.9000","-141.9000",\N,"-16.8000",\N,\N,"-22.0000","TRUE"
"25719","S","1965-04-19",\N,"4.4500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19650419_NA","1964",\N,"0.1000","0.0100","0.0500","0.0500",\N,\N,\N,\N,"0.7400","2.3500","0.7200","0.7500",\N,\N,\N,\N,\N,\N,\N,\N,"85.7000","-81.6000",\N,"4.9000",\N,\N,"4.1000","TRUE"
"25724","S","1965-04-27",\N,"4.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"7","S_19650427_NA","1964",\N,"0.2200","0.0500","0.2700","0.0500",\N,\N,\N,\N,"0.7900","5.3200","2.4300","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,"147.4000","-154.0000",\N,"-4.4000",\N,\N,"-6.6000","TRUE"
"25735","S","1965-05-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19650510_NA","1964",\N,"1.3100","0.3900","0.2900","0.5400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25742","S","1965-05-17",\N,"4.2300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19650517_NA","1964",\N,"0.5100","0.3100","0.1900","0.5400",\N,\N,\N,\N,"0.0800","4.8900","0.2000","12.0000",\N,\N,\N,\N,\N,\N,\N,\N,"142.6000","-443.3000",\N,"-102.6000",\N,\N,"-300.7000","TRUE"
"25749","S","1965-05-24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19650524_NA","1964",\N,"0.5000","0.5500","0.2600","1.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25757","S","1965-06-01",\N,"4.3400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19650601_NA","1965",\N,"0.7800","0.2900","0.2600","0.3900",\N,\N,\N,\N,"0.0600","4.8200","2.0600","10.0000",\N,\N,\N,\N,\N,\N,\N,\N,"135.4000","-415.4000",\N,"-101.7000",\N,\N,"-280.0000","TRUE"
"25776","S","1965-06-15",\N,"4.2400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19650615_NA","1965",\N,"0.1600","0.1000","0.0300","0.0800",\N,\N,\N,\N,"0.0500","3.4300","0.0300","5.2000",\N,\N,\N,\N,\N,\N,\N,\N,"80.8000","-218.5000",\N,"-92.0000",\N,\N,"-137.7000","TRUE"
"25777","S","1965-06-21",\N,"4.2000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2","S_19650621_NA","1965",\N,"0.3200","0.3600","0.4800","0.2800",\N,\N,\N,\N,"0.0300","3.6500","0.0400","14.0000",\N,\N,\N,\N,\N,\N,\N,\N,"134.8000","-471.4000",\N,"-111.1000",\N,\N,"-336.6000","TRUE"
