"refNo", "site", "date", "timeEST", "pH", "pHmetrohm", "DIC", "spCond", "temp", "ANC960", "ANCMet", "gageHt", "hydroGraph", "flowGageHt", "precipCatch", "fieldCode", "notes", "archived", "uniqueID", "waterYr", "datetime", "Ca", "Mg", "K", "Na", "TMAl", "OMAl", "Al_ICP", "NH4", "SO4", "NO3", "Cl", "PO4", "DOC", "TDN", "DON", "SiO2", "Mn", "Fe", "F", "cationCharge", "anionCharge", "theoryCond", "ionError", "duplicate", "sampleType", "ionBalance", "chla_M", "chla_T", "chla_MT", "chla_WM"
"52494","RG22","1969-06-01",\N,"4.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"999",\N,\N,"RG22_19690601","1969","6/1/69 0:00","0.2700","0.0400","0.3400","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52495","RG22","1969-06-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690610","1969","6/10/69 0:00","0.2700","0.0400","0.3400","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52496","RG22","1969-06-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690616","1969","6/16/69 0:00","0.0050","0.0050","0.0050","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52497","RG22","1969-06-24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690624","1969","6/24/69 0:00","0.1700","0.0300","0.1200","0.0050",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52498","RG22","1969-07-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690701","1969","7/1/69 0:00",\N,\N,"0.6500","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"-195.3000",\N,\N,\N,\N,\N,\N,\N,\N,\N
"52499","RG22","1969-07-08",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690708","1969","7/8/69 0:00","0.4200","0.0900","0.1100","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52500","RG22","1969-07-15",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690715","1969","7/15/69 0:00","0.1400","0.0200","0.0050","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52501","RG22","1969-07-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"970",\N,\N,"RG22_19690723","1969","7/23/69 0:00","1.6500","0.2400","0.4300","0.2700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52502","RG22","1969-07-28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690728","1969","7/28/69 0:00","0.3200","0.0400","0.0700","0.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52503","RG22","1969-08-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690804","1969","8/4/69 0:00","0.0800","0.0200","0.0050","0.0600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52504","RG22","1969-08-11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690811","1969","8/11/69 0:00","0.1800","0.0200","0.0050","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52505","RG22","1969-08-19",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690819","1969","8/19/69 0:00","0.1800","0.0300","0.0300","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52506","RG22","1969-08-25",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690825","1969","8/25/69 0:00",\N,\N,"0.0050","0.0050",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"-195.3000",\N,\N,\N,\N,\N,\N,\N,\N,\N
"52507","RG22","1969-09-11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690911","1969","9/11/69 0:00","0.2200","0.0300","0.0400","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52508","RG22","1969-09-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690923","1969","9/23/69 0:00","0.2400","0.0500","0.0400","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52509","RG22","1969-09-30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690930","1969","9/30/69 0:00","0.6400","0.0800","0.0400","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52510","RG22","1969-10-06",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691006","1969","10/6/69 0:00","0.0600","0.0400","0.4400","0.2100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52511","RG22","1969-10-14",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691014","1969","10/14/69 0:00","0.6900","0.1500","0.0700","0.7500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52512","RG22","1969-10-21",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691021","1969","10/21/69 0:00","0.4100","0.0700","0.0700","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52513","RG22","1969-10-28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691028","1969","10/28/69 0:00","0.6000","0.0900","0.2100","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52514","RG22","1969-11-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"970",\N,\N,"RG22_19691104","1969","11/4/69 0:00","0.4200","0.2500","0.1200","1.8200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52515","RG22","1969-11-11",\N,"3.3000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"970",\N,\N,"RG22_19691111","1969","11/11/69 0:00","0.0400","0.0400","0.0400","0.3200",\N,\N,\N,\N,\N,"0.9000","16.0000",\N,\N,\N,\N,\N,\N,\N,\N,"355.2000","-403.3000","194.5000","-12.7000",\N,\N,"-48.1000",\N,\N,\N,\N
"52516","RG22","1969-11-18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691118","1969","11/18/69 0:00","0.3900","0.1000","0.5100","0.7000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52517","RG22","1969-11-25",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691125","1969","11/25/69 0:00","0.0300","0.0800","0.0300","0.7000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52518","RG22","1969-12-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"970",\N,\N,"RG22_19691201","1969","12/1/69 0:00","3.5000","0.3400","1.1200","0.5900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52519","RG22","1969-12-09",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691209","1969","12/9/69 0:00","0.4700","0.0400","0.1400","0.2100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52520","RG22","1969-12-16",\N,"4.4000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691216","1969","12/16/69 0:00","0.7100","0.0500","0.0200","0.5200",\N,\N,\N,\N,\N,"0.4100","0.4600",\N,\N,\N,\N,\N,\N,\N,\N,\N,"-42.8000",\N,\N,\N,\N,\N,\N,\N,\N,\N
"52521","RG22","1969-12-23",\N,"4.0700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691223","1969","12/23/69 0:00","0.0600","0.0200","0.0200","0.1100",\N,\N,\N,\N,\N,"2.9900","0.4600",\N,\N,\N,\N,\N,\N,\N,\N,\N,"-1.3000",\N,\N,\N,\N,\N,\N,\N,\N,\N
"52522","RG22","1970-01-07",\N,"4.9700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700107","1969","1/7/70 0:00","0.0100","0.0100","0.0300","0.1000",\N,\N,\N,"0.0400","0.4100","0.0200","0.1300",\N,\N,\N,\N,\N,\N,\N,\N,"19.4000","-12.5000","5.2000","43.3000",\N,\N,"6.9000",\N,\N,\N,\N
"52523","RG22","1970-01-20",\N,"4.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700120","1969","1/20/70 0:00","0.0800","0.0200","0.0400","0.1400",\N,\N,\N,"0.2100","1.6700","3.8000","0.2100",\N,\N,\N,\N,\N,\N,\N,\N,"117.7000","-101.8000","41.8000","14.5000",\N,\N,"15.9000",\N,\N,\N,\N
"52524","RG22","1970-01-26",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700126","1969","1/26/70 0:00","0.3600","0.0400","0.0600","0.1100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52525","RG22","1970-02-07",\N,"4.1600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700207","1969","2/7/70 0:00","0.1400","0.0300","0.0300","0.2000",\N,\N,\N,"0.2200","2.6200","1.7000","0.2800",\N,\N,\N,\N,\N,\N,\N,\N,"100.3000","-89.8000","33.0000","11.0000",\N,\N,"10.5000",\N,\N,\N,\N
"52526","RG22","1970-02-18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700218","1969","2/18/70 0:00","0.0200","0.0100","0.0050","0.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52527","RG22","1970-03-02",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700302","1969","3/2/70 0:00","0.9700","0.1600","0.1200","0.6800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52528","RG22","1970-03-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700310","1969","3/10/70 0:00","0.0600","0.0200","0.0200","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52529","RG22","1970-03-18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700318","1969","3/18/70 0:00","0.0500","0.0050","0.0050","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52530","RG22","1970-03-24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700324","1969","3/24/70 0:00","0.0200","0.0050","0.0200","0.0100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52531","RG22","1970-03-31",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700331","1969","3/31/70 0:00","0.1500","0.0400","0.0400","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52532","RG22","1970-04-07",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700407","1969","4/7/70 0:00","0.0200","0.0050","0.0100","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52533","RG22","1970-04-21",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700421","1969","4/21/70 0:00","1.1600","0.1600","0.1400","0.1800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52534","RG22","1970-04-28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700428","1969","4/28/70 0:00","0.1400","0.0300","0.0400","0.0600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52535","RG22","1970-05-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700504","1969","5/4/70 0:00","0.1800","0.0500","0.2800","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52536","RG22","1970-05-11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700511","1969","5/11/70 0:00","1.5100","0.2200","0.2800","0.1200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52537","RG22","1970-05-18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700518","1969","5/18/70 0:00","0.0800","0.0400","0.0600","0.2200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52538","RG22","1970-06-02",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700602","1970","6/2/70 0:00","0.1900","0.0500","0.1800","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52539","RG22","1970-06-08",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700608","1970","6/8/70 0:00","0.1100","0.1300","0.5500","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52540","RG22","1970-06-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700623","1970","6/23/70 0:00","0.2900","0.0600","0.0600","0.0700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52541","RG22","1970-06-29",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700629","1970","6/29/70 0:00","0.0700","0.0100","0.0100","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52542","RG22","1970-07-06",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700706","1970","7/6/70 0:00","0.0800","0.0200","0.0200","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52543","RG22","1970-07-15",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700715","1970","7/15/70 0:00","0.1900","0.3700","0.1200","0.0700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52544","RG22","1970-08-03",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700803","1970","8/3/70 0:00","0.0300","0.0100","0.0020","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52545","RG22","1970-08-17",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"970",\N,\N,"RG22_19700817","1970","8/17/70 0:00","0.5200","0.1000","0.5900","0.1570",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52546","RG22","1970-08-25",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700825","1970","8/25/70 0:00","0.0500","0.0150","0.0200","0.0280",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52547","RG22","1970-09-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700901","1970","9/1/70 0:00","0.3500","0.0500","0.0650","0.0270",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52548","RG22","1970-09-09",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700909","1970","9/9/70 0:00","0.0900","0.0200","0.0200","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52549","RG22","1970-09-14",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700914","1970","9/14/70 0:00","0.1700","0.0300","0.0400","0.1000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52550","RG22","1970-09-22",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700922","1970","9/22/70 0:00","0.0050","0.0050","0.0100","0.0160",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52551","RG22","1970-09-29",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19700929","1970","9/29/70 0:00","0.0300","0.0090","0.0270","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52552","RG22","1970-10-05",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701005","1970","10/5/70 0:00","0.1900","0.0450","0.0500","0.1940",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52553","RG22","1970-10-13",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701013","1970","10/13/70 0:00","0.2100","0.0500","0.1400","0.2600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52554","RG22","1970-10-20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701020","1970","10/20/70 0:00","0.1100","0.0400","0.1500","0.2200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52555","RG22","1970-10-27",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701027","1970","10/27/70 0:00","0.0100","0.0700","0.0400","0.5000",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52556","RG22","1970-11-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701116","1970","11/16/70 0:00","0.0100","0.0300","0.0300","0.2600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52557","RG22","1970-11-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701123","1970","11/23/70 0:00","0.1000","0.0400","0.0100","0.3300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52558","RG22","1970-12-08",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701208","1970","12/8/70 0:00","0.2100","0.0400","0.0900","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52559","RG22","1970-12-14",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701214","1970","12/14/70 0:00","0.1100","0.0200","0.0400","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52560","RG22","1970-12-22",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701222","1970","12/22/70 0:00","0.1500","0.0200","0.0600","0.0700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52561","RG22","1970-12-29",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19701229","1970","12/29/70 0:00","0.0600","0.0100","0.0400","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52562","RG22","1971-01-05",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710105","1970","1/5/71 0:00","0.0900","0.0200","0.0900","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52563","RG22","1971-01-12",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710112","1970","1/12/71 0:00","0.2300","0.0300","0.0500","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52564","RG22","1971-01-20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710120","1970","1/20/71 0:00","0.0600","0.0100","0.0200","0.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52565","RG22","1971-01-26",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710126","1970","1/26/71 0:00","0.1200","0.0200","0.0400","0.0900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52566","RG22","1971-02-02",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710202","1970","2/2/71 0:00","0.0500","0.0200","0.0200","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52567","RG22","1971-02-09",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710209","1970","2/9/71 0:00","0.0700","0.0100","0.0050","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52568","RG22","1971-02-15",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19710215","1970","2/15/71 0:00","0.1400","0.0700","0.0200","0.5400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
