ws,yr,mo,dy,Ca,Mg,K,Na,NH4,pH,SO4,NO3,Cl,PO4,SiO2
70,1967,6,28,2.34,0.5,0.42,1.4,-3,5.8,-3,-3,-3,-3,-3
70,1967,7,16,2.22,0.5,0.47,1.34,-3,5.7,-3,-3,-3,-3,-3
70,1967,8,1,2.2,0.53,0.47,1.33,-3,5.5,-3,-3,-3,-3,-3
70,1967,8,13,2.16,0.52,0.46,1.39,-3,5.8,-3,-3,-3,-3,-3
70,1967,9,5,2.48,0.54,0.41,1.4,-3,6.4,-3,-3,-3,-3,-3
70,1967,10,16,2.24,0.56,0.48,1.4,-3,5.9,-3,-3,-3,-3,-3
70,1967,10,30,2.35,0.52,0.51,1.47,-3,5.3,-3,-3,-3,-3,-3
70,1968,1,18,2.25,0.6,0.52,1.27,-3,6,-3,-3,-3,-3,-3
70,1968,2,13,2.44,0.63,0.62,1.88,-3,5.7,-3,-3,-3,-3,-3
70,1968,3,18,2.22,0.56,0.52,1.5,0.005,5.7,6.4,0.53,0.96,0.01,3.5
70,1968,4,17,1.86,0.52,0.51,1.31,0.01,6.1,5.4,0.15,0.78,5e-4,2.9
70,1968,5,15,2.02,0.54,0.49,1.16,-3,6,-3,-3,-3,-3,-3
70,1968,6,5,1.8,0.5,0.52,1.34,-3,6,-3,-3,-3,-3,-3
70,1968,6,19,2.41,0.49,0.48,1.31,-3,5.8,-3,-3,-3,-3,-3
70,1968,7,10,1.87,0.5,0.41,1.32,0.04,6,5.8,0.11,0.86,0.01,2.7
70,1968,7,23,2.17,0.51,0.47,1.44,-3,5.7,-3,-3,-3,-3,-3
70,1968,8,6,1.66,0.52,0.52,1.39,-3,6.1,-3,-3,-3,-3,-3
70,1968,12,5,2.22,0.49,0.45,1.17,-3,5.6,-3,-3,-3,-3,-3
70,1969,1,15,3.36,0.55,0.46,1.42,-3,5.6,-3,-3,-3,-3,-3
70,1969,2,12,2.61,0.36,0.46,1.48,-3,5.5,-3,-3,-3,-3,-3
70,1969,3,11,2.42,0.51,0.47,1.42,-3,5.6,-3,-3,-3,-3,-3
70,1969,3,25,2.52,0.6,0.5,1.39,-3,5.5,-3,-3,-3,-3,-3
70,1969,4,11,2.18,0.48,0.36,1.15,-3,5.2,-3,-3,-3,-3,-3
70,1969,5,2,2.21,0.47,0.41,1.25,-3,5.8,-3,-3,-3,-3,-3
70,1969,5,19,2.1,0.48,0.39,1.28,-3,6,6.9,0.1,0.78,-3,3.4
70,1969,6,6,2,0.47,0.22,1.31,-3,6.1,6.4,0.09,0.75,-3,3.2
70,1969,6,16,2.2,0.46,0.23,1.19,-3,5.8,-3,-3,-3,-3,-3
70,1969,6,30,2.24,0.45,0.39,0.91,-3,6.08,-3,-3,-3,-3,-3
70,1969,8,11,2.1,0.47,0.43,1.2,-3,-3,-3,-3,-3,-3,-3
70,1969,8,25,2.26,0.47,0.38,1.18,-3,-3,-3,-3,-3,-3,-3
70,1969,9,12,2.25,0.47,0.4,1.25,-3,6,-3,-3,-3,-3,-3
70,1969,11,11,2.4,0.48,0.44,1.19,-3,5.8,-3,-3,-3,-3,-3
70,1969,11,18,2.47,0.48,0.45,1.22,-3,6,-3,-3,-3,-3,-3
70,1969,11,23,2.43,0.5,0.44,1.22,-3,5.8,-3,-3,-3,-3,-3
70,1969,11,25,2.47,0.5,0.44,1.25,-3,5.8,-3,-3,-3,-3,-3
70,1969,12,1,2.43,0.49,0.44,1.24,-3,5.8,-3,-3,-3,-3,-3
70,1969,12,8,2.55,0.49,0.47,1.3,-3,5.8,-3,-3,-3,-3,-3
70,1969,12,16,2.4,0.48,0.45,1.25,-3,5.6,-3,-3,-3,-3,-3
70,1969,12,22,2.55,0.51,0.42,1.24,-3,5.9,-3,-3,-3,-3,-3
70,1970,1,3,2.44,0.52,0.67,1.29,0.005,5.6,8.2,0.09,0.87,0.047,-3
70,1970,1,6,2.8,0.55,0.66,1.44,-3,5.7,-3,-3,-3,-3,-3
70,1970,1,13,2.75,0.54,0.57,1.42,-3,5.6,-3,-3,-3,-3,-3
70,1970,1,20,2.62,0.53,0.5,1.36,-3,5.7,-3,-3,-3,-3,-3
70,1970,1,25,2.74,0.56,0.54,1.37,0.005,5.9,7.88,0.08,0.82,0.033,3.5
70,1970,1,26,2.71,0.56,0.54,1.36,-3,5.9,-3,-3,-3,-3,-3
70,1970,2,5,2.72,0.55,0.59,1.44,-3,5.7,-3,-3,-3,-3,-3
70,1970,2,8,2.69,0.54,0.63,1.43,0.005,5.7,7.9,0.27,0.92,0.055,3.95
70,1970,2,10,2.69,0.55,0.66,1.38,-3,5.6,-3,-3,-3,-3,-3
70,1970,2,17,2.54,0.53,0.73,1.33,-3,5.6,-3,-3,-3,-3,-3
70,1970,2,21,2.44,0.52,0.6,1.26,0.005,5.6,4.79,0.23,0.87,0.014,4.95
70,1970,2,24,2.56,0.53,0.61,1.32,-3,5.8,-3,-3,-3,-3,-3
70,1970,3,2,2.63,0.54,0.61,1.21,-3,5.65,-3,-3,-3,-3,-3
70,1970,3,6,2.7,0.54,0.52,1.22,0.005,6.01,8.15,0.12,0.88,0.031,5.2
70,1970,3,10,2.62,0.51,0.47,1.21,-3,5.97,-3,-3,-3,-3,-3
70,1970,3,17,2.61,0.55,0.54,1.25,-3,6.16,-3,-3,-3,-3,-3
70,1970,3,24,2.58,0.55,0.52,1.24,-3,6,-3,-3,-3,-3,-3
70,1970,3,30,2.51,0.52,0.51,1.21,0.005,6,4.98,0.49,0.83,0.011,5.2
70,1970,3,31,2.42,0.5,0.52,1.18,-3,5.76,-3,-3,-3,-3,-3
70,1970,4,7,2.07,0.45,0.61,0.99,-3,5.69,-3,-3,-3,-3,-3
70,1970,4,11,1.99,0.42,0.42,0.96,0.005,5.75,5.5,0.07,0.67,0.018,3.7
70,1970,4,14,1.99,0.41,0.41,1.01,0.005,5.8,4.9,0.31,0.69,0.098,3.35
70,1970,4,20,2.12,0.43,0.42,1.07,-3,5.95,-3,-3,-3,-3,-3
70,1970,4,25,-3,-3,-3,-3,0.005,-3,4.8,0.01,0.69,0.027,3.75
70,1970,4,28,2.23,0.45,0.45,1.09,-3,5.85,-3,-3,-3,-3,-3
70,1970,5,2,2.19,0.44,0.47,1.07,-3,6.14,-3,-3,-3,-3,-3
70,1970,5,9,2.15,0.45,0.47,1.13,-3,6.36,-3,-3,-3,-3,-3
70,1970,5,17,2.19,0.45,0.48,1.08,0.005,6.31,3.29,0.01,0.69,0.069,3.2
70,1970,5,18,2.11,0.45,0.51,1.11,-3,-3,-3,-3,-3,-3,-3
70,1970,5,25,2.59,0.45,0.51,1.13,0.054,6.14,3.29,0.04,0.77,0.036,3.2
70,1970,6,10,2.2,0.47,0.52,1.19,0.02,6.35,5.8,0.03,0.75,-3,2.6
70,1970,6,16,-3,-3,-3,-3,0.005,-3,7.2,0.02,0.75,-3,2.7
70,1970,6,24,2.5,0.44,0.59,1.16,0.005,6.75,4.3,0.03,0.82,-3,2.85
70,1970,7,3,2.36,0.47,0.51,1.1,0.005,6.44,7.1,0.06,0.7,-3,2.65
70,1970,7,6,2.48,0.5,0.62,1.15,0.12,6.49,7.86,0.07,0.89,-3,2.45
70,1970,7,13,2.18,0.49,0.53,0.9,0.005,6.74,7.96,0.03,0.7,-3,2.65
70,1970,7,19,2,0.47,0.48,1.13,0.005,6.6,8,0.15,0.83,-3,2.55
70,1970,7,22,-3,-3,-3,-3,0.07,-3,5.32,1.17,0.83,-3,-3
70,1970,7,27,2.4,0.61,0.59,1.16,0.04,6.64,4.37,0.04,0.82,-3,2.7
70,1970,8,3,2.2,0.46,0.53,1.09,0.005,6.5,2.91,0.02,0.72,-3,2.75
70,1970,8,10,2.2,0.49,0.62,1.31,0.05,6.71,7.2,0.06,0.97,-3,2.8
70,1970,8,18,2.1,0.47,0.52,1.15,0.02,6.73,6.46,0.38,0.73,-3,2.7
70,1970,8,24,2.05,0.46,0.53,1.09,0.03,6.71,6.49,0.08,0.83,-3,2.45
70,1970,9,1,2.24,0.49,0.5,1.17,0.12,6.89,5.29,0.07,0.82,-3,2.35
70,1970,9,7,2.22,0.47,0.53,1.17,0.08,6.74,5.93,0.06,0.83,-3,2.4
70,1970,9,26,-3,-3,-3,-3,0.005,6.55,5.26,0.01,0.73,-3,-3
70,1970,10,27,2.4,0.51,0.56,1.31,0.05,6.55,5.1,0.02,0.48,-3,2.4
70,1970,11,16,2.34,0.49,0.57,1.2,-3,6.68,-3,-3,-3,-3,-3
70,1970,11,27,2.44,0.51,0.55,1.18,0.04,6.6,6.9,0.01,0.83,-3,2.5
70,1970,12,1,2.45,0.52,0.55,1.19,-3,6.36,-3,-3,-3,-3,-3
70,1970,12,8,2.61,0.53,0.56,1.24,0.03,6.53,6.7,0.02,0.82,-3,2.8
70,1970,12,14,2.67,0.57,0.63,1.33,0.05,6.62,6.9,0.06,0.88,-3,3
70,1970,12,22,2.63,0.54,0.58,1.27,0.01,6.5,7.7,0.1,0.76,-3,2.7
70,1970,12,29,2.66,0.52,0.56,1.25,0.1,6.43,5.3,0.11,0.79,-3,2.5
70,1971,1,5,2.62,0.52,0.59,1.26,0.03,6.3,5.6,0.01,0.77,-3,2.8
70,1971,1,12,2.7,0.55,0.59,1.28,0.01,6.52,5,0.01,0.83,-3,2.8
70,1971,1,19,2.9,0.57,0.59,1.34,0.01,6.4,6.7,0.11,0.84,-3,3.3
70,1971,1,26,2.72,0.64,0.7,1.52,0.04,6.52,7.4,0.15,0.99,-3,3.3
70,1971,2,2,2.83,0.58,0.61,1.35,0.005,6.73,6.3,0.13,0.87,-3,3.2
70,1971,2,9,2.75,0.57,0.59,1.33,0.06,7.02,6.9,0.14,0.9,-3,3.3
70,1971,2,15,2.58,0.55,0.6,1.33,0.01,6.45,6.1,0.14,0.86,-3,3.3
70,1971,2,23,2.55,0.55,0.6,1.31,0.05,6.55,5.8,0.19,0.84,-3,3.3
70,1971,3,2,2.61,0.52,0.59,1.32,0.06,6.64,5.8,0.14,0.82,-3,3.5
70,1971,3,9,2.52,0.53,0.57,1.3,0.06,6.38,5.4,0.17,0.86,-3,3.6
70,1971,3,16,2.62,0.55,0.57,1.28,0.05,6.26,5,0.22,0.82,-3,3.9
70,1971,3,23,2.72,0.55,0.53,1.3,0.06,6.46,6.1,0.08,0.81,-3,3.8
70,1971,3,30,2.66,0.57,0.58,1.28,0.02,6.58,7.6,0.22,0.75,-3,4.3
70,1971,4,6,2.79,0.57,0.57,1.3,0.02,6.16,8.2,0.92,1,-3,3.6
70,1971,4,12,2.02,0.43,0.4,0.96,0.05,5.89,4.5,1.02,0.7,-3,2.6
70,1971,4,20,1.77,0.38,0.35,0.83,0.02,5.76,4.2,0.52,0.62,-3,2.2
70,1971,4,26,2.05,0.43,0.4,1.02,0.01,6.13,-3,0.26,0.67,-3,2.7
70,1971,5,3,2.24,0.44,0.48,1.07,0.02,6.51,-3,0.28,0.72,-3,3
70,1971,5,11,2.3,0.47,0.46,1.11,0.01,6.62,7.2,0.06,0.7,-3,3.2
70,1971,5,17,2.31,0.49,0.47,1.16,0.03,6.64,5.4,0.01,0.72,-3,2.3
70,1971,5,24,2.28,0.46,0.38,1.1,-3,6.25,-3,-3,-3,-3,-3
70,1971,6,1,2.25,0.46,0.51,1.08,0.07,6.53,7.2,0.01,0.8,-3,2.1
70,1971,6,7,2.2,0.49,0.51,1.25,0.03,6.83,7,0.04,0.8,-3,1.7
70,1971,6,14,2.44,0.51,0.5,1.25,0.08,6.99,5,0.01,0.77,-3,1.95
70,1971,6,20,2.31,0.5,0.52,1.26,0.03,6.84,5.5,0.02,0.8,-3,1.65
70,1971,6,28,2.34,0.5,0.52,1.19,0.03,6.52,6.3,0.01,0.73,-3,1.66
70,1971,7,5,2.33,0.5,0.56,1.33,0.05,6.69,5,0.01,0.95,-3,1.8
70,1971,7,12,2.68,0.51,0.53,1.23,0.1,6.11,5.4,0.02,0.85,-3,1.75
70,1971,7,19,2.3,0.51,0.52,1.15,0.04,6.63,8.3,0.04,0.71,-3,1.8
70,1971,7,26,2.35,0.51,0.55,1.28,0.05,6.62,4.9,0.04,0.86,-3,2
70,1971,8,2,2.24,0.5,0.53,1.25,0.04,6.55,5.6,0.04,0.77,-3,1.85
70,1971,8,9,2.04,0.51,0.53,1.23,0.04,6.64,8,0.01,0.82,-3,1.8
70,1971,8,16,2.43,0.52,0.5,1.18,0.03,6.2,7.3,0.01,0.88,-3,1.9
70,1971,8,23,2.42,0.5,0.54,1.27,0.03,6.35,6.4,0.04,0.87,-3,2
70,1971,8,30,2.38,0.49,0.52,1.25,0.02,6.3,7.5,0.01,0.76,-3,1.75
70,1971,9,13,2.31,0.5,0.57,1.25,0.06,6.59,7.6,0.02,0.74,-3,1.8
70,1971,9,20,2.33,0.52,0.52,1.29,0.05,6.71,8,0.02,0.84,-3,1.8
70,1971,9,27,2.42,0.51,0.55,1.3,0.05,6.79,5.5,0.01,0.89,-3,1.9
70,1971,10,4,2.37,0.52,0.55,1.29,0.05,6.59,6,0.01,0.76,-3,2.1
70,1971,10,11,2.33,0.51,0.56,1.22,0.05,6.5,5.6,0.01,0.8,-3,2.5
70,1971,10,18,2.34,0.53,0.54,1.24,0.02,6.51,7,0.03,0.86,-3,2
70,1971,10,25,2.36,0.5,0.55,1.27,0.05,6.5,6.3,0.03,0.86,-3,1.9
70,1971,11,1,2.4,0.52,0.58,1.24,0.06,6.62,5.2,0.01,0.82,-3,2.1
70,1971,11,9,2.37,0.49,0.54,1.24,0.05,6.71,4.7,0.02,0.9,-3,2.5
70,1971,11,23,2.45,0.5,0.52,1.28,0.05,6.63,6.2,0.07,0.81,-3,2
70,1971,12,28,2.71,0.56,0.56,1.32,0.07,6.41,6.5,0.15,0.8,-3,1.9
70,1972,1,5,2.73,0.58,0.5,1.35,0.03,6.58,4.6,0.19,0.96,-3,2.7
70,1972,1,11,2.61,0.56,0.51,1.24,0.04,6.52,6.1,0.19,0.91,-3,2.7
70,1972,1,26,2.69,0.56,0.52,1.32,0.005,6.42,6.1,0.24,0.92,-3,2.8
70,1972,2,2,2.83,0.6,0.61,1.41,0.01,6.48,7.2,0.29,1.03,-3,3.3
70,1972,2,8,2.69,0.59,0.59,1.39,0.01,6.39,6,0.32,0.98,-3,3.3
70,1972,2,15,2.87,0.59,0.57,1.41,0.005,6.25,6,0.35,1,-3,3.3
70,1972,2,21,2.26,0.43,0.47,1.06,0.03,6.35,5.4,0.4,0.78,-3,2.4
70,1972,2,29,2.67,0.57,0.54,1.33,0.02,6.29,6,0.49,0.94,0.01,3
70,1972,3,7,2.6,0.57,0.57,1.37,0.03,6.32,6.5,0.54,1.02,0.005,3.1
70,1972,3,14,2.73,0.6,0.55,1.26,0.02,6.35,6,0.53,0.95,0.01,3.2
70,1972,3,21,2.62,0.49,0.47,1.24,0.03,6.14,5.6,0.97,0.95,0.005,3.4
70,1972,3,28,2.49,0.52,0.45,1.03,0.02,6,6.8,0.93,0.86,5e-4,4
70,1972,4,3,1.7,0.38,0.38,0.93,0.02,5.82,6,1.03,0.83,5e-4,3.6
70,1972,4,11,1.75,0.36,0.29,0.77,0.03,5.66,5.4,0.95,0.76,5e-4,3.3
70,1972,4,18,1.52,0.31,0.3,0.75,0.03,5.72,4.6,0.72,0.68,5e-4,3
70,1972,4,25,1.72,0.37,0.35,0.85,0.04,6.01,7,0.4,0.68,0.01,2.8
70,1972,5,2,2.24,0.48,0.51,1.06,0.005,6.1,5.8,0.01,0.8,0.005,3.1
70,1972,5,9,2.29,0.47,0.49,1.16,0.005,6.4,5.9,0.01,0.85,5e-4,3.1
70,1972,5,15,2.29,0.47,0.49,1.14,0.03,6.2,5.8,0.15,0.66,0.005,2.8
70,1972,5,23,2.33,0.47,0.48,1.19,0.02,6.3,6.3,0.01,0.6,5e-4,2.9
70,1972,5,30,2.4,0.48,0.48,1.18,0.03,6.4,6,0.01,0.7,5e-4,2.8
70,1972,6,7,2.41,0.46,0.52,1.16,0.02,6.19,6.4,0.02,0.66,0.07,3
70,1972,6,12,2.3,0.47,0.48,1.2,0.03,6.31,6.1,0.02,0.66,0.01,2.9
70,1972,6,19,2.28,0.48,0.45,1.16,0.01,6.3,5.8,0.01,0.85,0.01,2.6
70,1972,6,26,2.21,0.46,0.47,1.18,0.04,6.35,6.4,0.08,0.86,5e-4,2.3
70,1972,7,5,2.28,0.48,0.48,1.14,0.08,6.2,5.6,0.01,0.9,5e-4,2.5
70,1972,7,10,2.26,0.48,0.52,1.19,0.02,6.4,5.5,0.05,0.85,0.005,2.3
70,1972,7,17,2.25,0.47,0.51,1.18,0.04,6.45,5.6,0.05,0.9,5e-4,2.5
70,1972,7,24,2.26,0.46,0.48,1.19,0.02,6.29,6.1,0.02,0.84,0.018,2.3
70,1972,7,31,2.25,0.48,0.47,1.24,0.04,6.74,5.3,0.1,0.7,0.02,2.7
70,1972,8,7,2.18,0.49,0.47,1.26,0.02,6.3,5.9,0.03,0.84,0.01,2.1
70,1972,8,14,2.28,0.48,0.51,1.27,0.03,6.5,5.7,0.05,0.86,0.005,2.1
70,1972,8,21,2.25,0.47,0.5,1.31,0.03,6.55,5.7,0.02,0.81,0.011,2
70,1972,8,28,2.23,0.47,0.46,1.21,0.03,6.4,5.8,0.08,0.8,0.01,1.8
70,1972,9,5,2.21,0.49,0.49,1.27,0.03,6.3,6.1,0.02,0.81,0.01,2.2
70,1972,9,11,2.27,0.51,0.52,1.31,0.03,6.55,6.2,0.01,0.89,0.012,2.4
70,1972,9,18,2.32,0.5,0.5,1.3,0.03,5.55,6.5,0.01,0.91,0.015,2.3
70,1972,9,25,2.37,0.47,0.52,1.26,0.11,6.5,5.9,0.03,0.91,0.015,2.3
70,1972,10,2,2.43,0.52,0.56,1.29,0.08,6.48,5.7,0.02,0.95,0.009,2.2
70,1972,10,10,2.38,0.5,0.59,1.28,0.03,6.4,5.9,0.01,0.91,0.004,2.1
70,1972,10,16,2.44,0.53,0.62,1.32,0.04,6.3,5.7,0.01,0.93,0.006,2.3
70,1972,10,24,2.45,0.48,0.59,1.31,0.03,6.25,5.8,0.04,0.91,0.005,1.9
70,1972,10,30,2.38,0.5,0.58,1.2,0.04,6.4,5.3,0.03,0.99,0.004,2.2
70,1972,11,7,2.46,0.5,0.57,1.29,0.03,6.4,5.7,0.06,1.05,0.004,2.2
70,1972,11,15,2.46,0.49,0.55,1.28,0.03,6.3,6.2,0.01,0.92,0.002,2.5
70,1972,11,20,2.36,0.47,0.52,1.23,0.01,6.28,6.1,0.08,0.91,0.002,2.3
70,1972,11,27,2.39,0.49,0.53,1.3,0.01,6.25,6.1,0.11,0.87,0.001,2.7
70,1972,12,5,2.57,0.52,0.57,1.33,0.03,6.28,6.6,0.15,0.92,0.004,2.8
70,1972,12,12,2.74,0.54,0.61,1.47,0.04,6.32,6.6,0.23,1.01,0.006,2.8
70,1972,12,19,2.61,0.53,0.56,1.36,0.03,6.2,6.4,0.15,1,0.004,3
70,1972,12,27,2.69,0.53,0.6,1.37,0.03,6.35,6.5,0.14,1.06,0.004,3
70,1973,1,3,2.56,0.52,0.53,1.33,0.04,6.2,6.3,0.15,0.99,0.003,3.3
70,1973,1,9,2.49,0.51,0.53,1.32,0.04,6.15,5.5,0.14,0.95,0.01,3.2
70,1973,1,16,2.82,0.57,0.53,1.4,0.05,6.3,6.9,0.13,1.04,0.005,3.3
70,1973,1,23,2.94,0.58,0.57,1.49,0.04,6.22,6.8,0.27,1.13,0.005,3.4
70,1973,1,29,2.9,0.59,0.58,1.47,0.05,6.19,6.7,0.3,1.14,0.004,3.7
70,1973,2,6,2.69,0.53,0.44,1.15,0.04,5.89,7.8,0.48,1.02,0.003,4.3
70,1973,2,13,2.52,0.52,0.44,1.18,0.04,6.22,7.4,0.38,1.43,0.003,4.1
70,1973,2,21,2.58,0.52,0.39,1.06,0.03,5.28,6.7,0.33,0.79,0.003,4.6
70,1973,2,27,2.61,0.51,0.5,1.24,0.04,6,7.2,0.33,0.9,0.003,3.9
70,1973,3,7,2.63,0.52,0.5,1.29,0.04,6.02,7,0.53,0.96,0.002,3.8
70,1973,3,13,2.51,0.48,0.44,1.22,0.04,6.18,6.5,0.45,0.82,0.002,4.1
70,1973,3,20,1.96,0.39,0.38,1.04,0.03,5.85,5.5,0.42,0.82,0.003,4.1
70,1973,3,26,1.58,0.31,0.27,0.8,0.03,4.75,4.7,0.4,1.76,0.002,3
70,1973,4,2,1.76,0.36,0.37,1,0.03,5.95,4.2,0.29,0.61,0.003,2.7
70,1973,4,10,2.18,0.44,0.47,1.2,0.04,6.18,5.2,0.29,0.87,0.006,3.3
70,1973,4,18,2.3,0.45,0.47,1.23,0.02,6.27,5.8,0.25,1.32,0.003,1.2
70,1973,4,23,2.21,0.46,0.49,1.26,0.04,6.27,5.5,0.3,0.9,0.005,3.2
70,1973,4,30,2.27,0.45,0.48,1.23,0.05,6.39,5.9,0.16,1.02,0.005,3.1
70,1973,5,7,2.31,0.47,0.5,1.26,0.05,6.5,5.9,0.08,0.91,0.005,5
70,1973,5,15,2.31,0.46,0.48,1.25,0.04,6.4,5.5,0.08,1.73,0.001,3.3
70,1973,5,21,2.2,0.45,0.46,1.19,0.01,6.4,5.7,0.06,0.92,0.003,3.5
70,1973,5,28,2.29,0.47,0.48,1.25,0.02,6.45,5.7,0.02,0.97,0.002,2.9
70,1973,6,4,2.3,0.46,0.47,1.24,0.01,6.45,5.2,0.02,0.87,0.002,2.7
70,1973,6,11,2.24,0.46,0.46,1.25,0.01,6.3,5.6,0.03,0.86,0.002,2.5
70,1973,6,18,2.21,0.45,0.45,1.24,0.01,6.37,6.2,0.05,0.83,0.002,2.2
70,1973,6,25,2.24,0.44,0.47,1.23,0.06,6.23,6,0.08,0.87,0.003,2
70,1973,7,3,2.13,0.44,0.42,1.17,0.04,6.45,5.7,0.04,0.85,0.005,1.7
70,1973,7,9,2.2,0.45,0.42,1.18,0.02,6.4,6,0.03,0.83,0.004,1.6
70,1973,7,16,2.17,0.45,0.4,1.17,0.02,6.3,5.4,0.03,0.8,0.005,2.3
70,1973,7,23,2.57,0.44,0.45,1.18,0.08,6.2,6.3,0.03,0.88,0.01,2.2
70,1973,7,30,3.17,0.47,0.47,1.17,0.03,6.58,6,0.03,0.84,0.004,2.9
70,1973,8,6,2.2,0.44,0.42,1.17,0.04,6.4,6.5,0.01,0.83,0.002,2.3
70,1973,8,13,2.37,0.43,0.43,1.17,0.08,6.35,6.1,0.03,0.82,0.005,2
70,1973,8,20,2.38,0.47,0.43,1.22,0.04,6.6,5.6,0.02,0.93,0.003,2
70,1973,8,27,2.29,0.47,0.44,1.24,0.03,6.45,5.7,0.03,0.88,0.003,1.9
70,1973,9,4,2.44,0.49,0.46,1.24,0.06,6.31,5.5,0.02,0.81,0.003,1.8
70,1973,9,10,2.27,0.48,0.41,1.18,0.04,6.39,5.6,0.01,0.86,0.003,2.3
70,1973,9,17,2.25,0.48,0.47,1.23,0.02,6.36,6.6,0.02,0.86,0.004,1.9
70,1973,9,24,2.34,0.49,0.49,1.23,0.04,6.32,6.1,0.04,0.86,0.004,1.8
70,1973,10,1,2.42,0.5,0.55,1.25,0.05,6.14,6.2,0.02,0.89,0.004,1.8
70,1973,10,12,2.37,0.52,0.51,1.26,0.06,6.25,5.7,0.01,0.88,0.005,2.2
70,1973,10,24,2.44,0.51,0.52,1.27,0.06,6.28,5.4,0.02,0.88,0.004,2.2
70,1973,10,29,2.43,0.52,0.51,1.26,0.07,6.28,6.2,0.02,0.9,0.002,2
70,1973,11,7,2.44,0.51,0.46,1.23,0.08,6.18,5.6,0.02,0.9,0.004,2.4
70,1973,11,12,2.41,0.52,0.53,1.25,0.04,6.1,5.6,0.02,0.89,0.002,2.3
70,1973,11,20,2.38,0.51,0.53,1.25,0.04,6.25,5.8,0.02,0.9,0.002,2.4
70,1973,11,26,2.34,0.51,0.54,1.22,0.04,6.21,6.6,0.01,0.87,0.002,2.3
70,1973,12,3,2.6,0.56,0.45,1.22,0.06,6.12,6.4,0.13,1.03,0.002,2.7
70,1973,12,10,2.47,0.51,0.5,1.27,0.08,6.05,6.1,0.02,0.97,0.003,2.6
70,1973,12,20,2.89,0.64,0.6,1.16,0.05,6.48,7.7,0.22,1.16,0.006,2.1
70,1973,12,27,2.08,0.46,0.45,1.61,0.05,6,5.4,0.08,1.02,0.005,3.3
70,1974,1,9,2.28,0.49,0.42,1.07,0.03,6.18,7.2,0.25,0.84,0.002,0.6
70,1974,1,16,2.31,0.49,0.44,1.13,0.02,6.09,6.3,0.17,0.81,0.002,2.9
70,1974,1,22,2.34,0.5,0.42,1.13,0.03,6.11,6.9,0.29,0.79,0.002,4
70,1974,1,30,2.3,0.5,0.36,1.07,0.03,5.78,7,0.54,0.76,0.002,5.1
70,1974,2,7,2.03,0.48,0.47,1.22,0.03,5.99,6.8,0.3,0.85,0.004,4
70,1974,2,13,2.57,0.55,0.44,1.23,0.04,5.99,7.3,0.29,0.87,0.003,5
70,1974,2,20,2.65,0.56,0.44,1.2,0.05,-3,7,0.27,0.79,0.003,4.7
70,1974,2,27,2.61,0.56,0.44,1.2,0.04,6.08,7.1,0.56,0.85,0.002,4.8
70,1974,3,6,2.42,0.53,0.45,1.23,0.06,5.9,6.7,0.96,0.93,0.002,4.4
70,1974,3,14,2.42,0.51,0.44,1.15,0.06,6.12,5.7,0.42,0.91,0.002,3.6
70,1974,3,17,2.39,0.49,0.48,1.22,0.04,6.11,6,0.02,0.87,0.004,3
70,1974,3,19,2.38,0.49,0.48,1.21,0.04,6.11,6,0.02,0.86,0.003,3.1
70,1974,3,28,2.04,0.43,0.41,1.02,0.04,5.99,5.9,0.54,0.77,0.002,3.2
70,1974,4,4,1.75,0.36,0.36,0.89,0.03,5.8,5.4,0.7,0.69,0.003,2.7
70,1974,4,11,1.59,0.33,0.35,0.8,0.04,5.68,4.9,0.68,0.59,0.003,3
70,1974,4,17,0.67,0.13,0.14,0.34,0.09,4.98,2.6,0.96,0.29,0.002,1.3
70,1974,4,24,2.08,0.45,0.42,1.05,0.03,6.15,5,0.38,0.7,0.003,3
70,1974,5,1,2.2,0.46,0.44,1.15,0.06,6.35,6,0.19,0.83,0.004,-3
70,1974,5,7,2.24,0.49,0.45,1.15,0.06,6.49,6.2,0.13,0.83,0.004,3.1
70,1974,5,15,2.23,0.47,0.37,1.06,0.06,6.47,5.7,0.01,0.83,0.004,3.1
70,1974,5,21,2.24,0.48,0.38,1.09,0.04,6.51,5.9,0.01,0.85,0.003,2.9
70,1974,5,30,2.23,0.47,0.41,1.14,0.04,6.43,5.9,0.03,0.82,0.002,2.9
70,1974,6,5,2.23,0.48,0.47,1.14,0.04,6.57,5.6,0.02,0.82,0.002,2.9
70,1974,6,12,2.23,0.47,0.45,1.18,0.05,6.42,5,0.02,0.8,0.002,2.4
70,1974,6,17,2.16,0.46,0.44,1.14,0.08,6.48,5.3,0.03,0.8,0.006,2.7
70,1974,6,24,2.16,0.47,0.45,1.15,0.05,6.47,5.6,0.02,0.8,0.004,2.5
70,1974,7,1,2.16,0.46,0.44,1.19,0.03,6.54,5.3,0.02,0.78,0.004,2.3
70,1974,7,8,2.25,0.47,0.44,1.26,0.03,6.99,5.5,0.03,0.82,0.003,2.3
70,1974,7,15,2.23,0.46,0.44,1.22,0.02,6.58,5.9,0.01,0.82,0.002,2
70,1974,7,22,2.16,0.47,0.5,1.26,0.46,6.5,5.8,0.02,0.92,0.012,2.2
70,1974,7,29,2.24,0.47,0.43,1.21,0.06,6.49,5.6,0.02,0.86,0.003,2.2
70,1974,8,5,2.11,0.46,0.43,1.19,0.04,6.41,5.7,0.01,0.8,0.003,2
70,1974,8,12,2.17,0.47,0.43,1.23,0.07,6.54,5.8,0.01,0.82,0.004,2
